EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
HDFCLIFE IN Equity,HDFC LIFE INSURA,1657104754909.50,1657104754909.50,768.30,87.31,24.85,922581000000.00
VBL IN Equity,VARUN BEVERAGES,1623185509681.55,1623185509681.55,479.95,60.37,-24.61,194450460000.00
SHFL IN Equity,SHRIRAM FINANCE,1608306420752.60,1608306420752.60,854.90,17.03,50.18,418344200000.00
BPCL IN Equity,BHARAT PETROL,1563163527326.40,1563163527326.40,360.30,11.54,30.11,4402718600000.00
TECHM IN Equity,TECH MAHINDRA LT,1538850912891.60,1538850912891.60,1570.80,29.40,-5.29,540157000000.00
MUTH IN Equity,MUTHOOT FINANCE,1525620355647.60,1525620355647.60,3800.10,20.89,80.10,245444030000.00
BOB IN Equity,BANK OF BARODA,1513140573575.40,1513140573575.40,292.60,7.92,25.76,1544664800000.00
PIDI IN Equity,PIDILITE INDS,1501229968603.20,1501229968603.20,1475.10,72.27,2.61,130938500000.00
IRFC IN Equity,INDIAN RAILWAY F,1497650787600.00,1497650787600.00,114.60,21.87,-21.98,267769100000.00
TRENT IN Equity,TRENT LTD,1487039598109.10,1487039598109.10,4183.10,91.67,-41.22,185746600000.00
CIFC IN Equity,CHOLAMANDALAM IN,1460050796803.20,1460050796803.20,1730.40,34.12,46.11,261527600000.00
BRIT IN Equity,BRITANNIA INDS,1435815912456.00,1435815912456.00,5961.00,61.97,26.78,181259000000.00
PNB IN Equity,PUNJAB NATL BANK,1398806125148.28,1398806125148.28,121.71,8.21,21.75,1472680700000.00
TATACAP IN Equity,TATA CAPITAL LTD,1381492628091.65,1381492628091.65,325.45,34.92,,283127400000.00
CBK IN Equity,CANARA BANK,1348261603286.40,1348261603286.40,148.64,7.03,53.79,1611413400000.00
TMCV IN Equity,TATA MOTORS LTD,1323982245162.15,1323982245162.15,359.55,,,
ACEM IN Equity,AMBUJA CEMENTS,1319459372556.40,1319459372556.40,533.80,31.40,-0.01,333623900000.00
